names,scores,logfoldchanges,pvals,pvals_adj
RP11-728K20.3,0.046106122,2.1286633,0.9632256672362322,1.0
SLC13A4,0.046106122,2.1286633,0.9632256672362322,1.0
C5orf38,0.046106122,2.1286633,0.9632256672362322,1.0
NOSTRIN,0.046106122,2.1286633,0.9632256672362322,1.0
CTD-2044J15.1,0.046106122,2.1286633,0.9632256672362322,1.0
CH17-270A2.1,0.046106122,2.1286633,0.9632256672362322,1.0
FAM166B,0.046106122,2.1286633,0.9632256672362322,1.0
CTD-2235C13.3,0.046106122,2.1286633,0.9632256672362322,1.0
LL22NC03-63E9.3,0.046106122,2.1286633,0.9632256672362322,1.0
TIMM10B-1,0.046106122,2.1286633,0.9632256672362322,1.0
XXbac-BPG248L24.13,0.046106122,2.1286633,0.9632256672362322,1.0
RP13-497K6.1,0.046106122,2.1286633,0.9632256672362322,1.0
C14orf178,0.046106122,2.1286633,0.9632256672362322,1.0
RP11-307C19.1,0.046106122,2.1286633,0.9632256672362322,1.0
GSG1,0.046106122,2.1286633,0.9632256672362322,1.0
RP13-297E16.5,0.046106122,2.1286633,0.9632256672362322,1.0
REEP2,0.046106122,2.1286633,0.9632256672362322,1.0
AC092295.4,0.046106122,2.1286633,0.9632256672362322,1.0
RP11-576I22.2,0.046106122,2.1286633,0.9632256672362322,1.0
GLOD5,0.046106122,2.1286633,0.9632256672362322,1.0
RP11-795H16.3,0.046106122,2.1286633,0.9632256672362322,1.0
RP11-295M3.4,0.046106122,2.1286633,0.9632256672362322,1.0
