gene,sig_tissues,n_sig_tissues,lymphoid_fdr,tier
UBE3D,fallopian tube,1,,2_restricted
UBE4A,,0,,4_broad
UBE4B,skeletal muscle,1,,3_vital
UBFD1,skeletal muscle,1,,3_vital
UBIAD1,skeletal muscle,1,,3_vital
UBL3,stomach,1,,2_restricted
UBL4A,"skeletal muscle, tongue",2,,3_vital
UBL4B,testis,1,,1b_testis_CT
UBL5,choroid plexus,1,,3_vital
UBL7,skeletal muscle,1,,3_vital
UBLCP1,tonsil,1,0.04393097374456341,1a_lymphoid
UBN1,"bone marrow, testis",2,6.485226882044232e-06,1a_lymphoid
UBN2,"retina, testis",2,,3_vital
UBOX5,skeletal muscle,1,,3_vital
UBP1,,0,,4_broad
UBQLN1,skeletal muscle,1,,3_vital
UBQLN2,,0,,4_broad
UBQLN3,testis,1,,1b_testis_CT
UBQLN4,skeletal muscle,1,,3_vital
UBQLNL,testis,1,,1b_testis_CT
UBR1,bone marrow,1,5.3261208073722645e-06,1a_lymphoid
UBR2,retina,1,,3_vital
UBR3,"skeletal muscle, tongue",2,,3_vital
UBR4,skin,1,,2_restricted
UBR5,,0,,4_broad
UBR7,thymus,1,0.008713634124112572,1a_lymphoid
UBTD1,"skin, testis",2,,2_restricted
UBTD2,"cerebellum, testis",2,,3_vital
UBTF,thymus,1,0.0380328798009857,1a_lymphoid
UBTFL1,,0,,4_broad
UBXN1,skeletal muscle,1,,3_vital
UBXN10,fallopian tube,1,,2_restricted
UBXN11,choroid plexus,1,,3_vital
UBXN2A,skeletal muscle,1,,3_vital
UBXN2B,,0,,4_broad
UBXN4,,0,,4_broad
UBXN6,skeletal muscle,1,,3_vital
UBXN7,"bone marrow, retina",2,3.8403400152155136e-05,3_vital
UBXN8,ovary,1,,2_restricted
UCHL1,"cerebral cortex, hypothalamus",2,,3_vital
UCHL3,,0,,4_broad
UCHL5,,0,,4_broad
UCK1,liver,1,,3_vital
UCK2,placenta,1,,2_restricted
UCKL1,cerebellum,1,,3_vital
UCMA,amygdala,1,,3_vital
UCN,,0,,4_broad
UCN2,skin,1,,2_restricted
UCN3,"duodenum, small intestine",2,,2_restricted
UCP1,adrenal gland,1,,3_vital
UCP2,lymph node,1,0.020599408873664286,1a_lymphoid
UCP3,"skeletal muscle, tongue",2,,3_vital
UEVLD,,0,,4_broad
UFC1,,0,,4_broad
UFD1,skeletal muscle,1,,3_vital
UFL1,,0,,4_broad
UFM1,bone marrow,1,3.8325888704626365e-05,1a_lymphoid
UFSP1,skeletal muscle,1,,3_vital
UFSP2,retina,1,,3_vital
UGCG,bone marrow,1,2.3954201346003805e-05,1a_lymphoid
UGDH,liver,1,,3_vital
UGGT1,"bone marrow, epididymis",2,0.007252369300566075,1a_lymphoid
UGGT2,blood vessel,1,,2_restricted
UGP2,"liver, tongue",2,,3_vital
UGT1A1,"duodenum, liver",2,,3_vital
UGT1A10,"duodenum, small intestine",2,,2_restricted
UGT1A4,liver,1,,3_vital
UGT1A6,"liver, urinary bladder",2,,3_vital
UGT1A7,esophagus,1,,2_restricted
UGT1A8,"colon, urinary bladder",2,,2_restricted
UGT1A9,kidney,1,,3_vital
UGT2A1,"choroid plexus, pituitary gland",2,,3_vital
UGT2A2,"kidney, liver",2,,3_vital
UGT2A3,"colon, small intestine",2,,2_restricted
UGT2B10,liver,1,,3_vital
UGT2B11,breast,1,,2_restricted
UGT2B15,liver,1,,3_vital
UGT2B17,"colon, duodenum, small intestine",3,,2_restricted
UGT2B28,breast,1,,2_restricted
UGT2B4,liver,1,,3_vital
UGT2B7,"kidney, liver",2,,3_vital
UGT3A1,"kidney, liver",2,,3_vital
UGT3A2,"skin, thymus",2,2.836315150459101e-08,1a_lymphoid
UGT8,spinal cord,1,,3_vital
UHMK1,,0,,4_broad
UHRF1,thymus,1,1.9966105108373852e-16,1a_lymphoid
UHRF2,bone marrow,1,3.293741325506287e-12,1a_lymphoid
UIMC1,"bone marrow, testis",2,0.005333161084137715,1a_lymphoid
ULBP1,"cerebellum, testis",2,,3_vital
ULBP2,esophagus,1,,2_restricted
ULBP3,"skeletal muscle, testis",2,,3_vital
ULK1,skeletal muscle,1,,3_vital
ULK2,"spinal cord, testis",2,,3_vital
ULK3,cerebellum,1,,3_vital
ULK4,testis,1,,1b_testis_CT
UMAD1,pancreas,1,,3_vital
UMOD,kidney,1,,3_vital
UMODL1,"fallopian tube, testis",2,,2_restricted
UMPS,,0,,4_broad
